id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45184100,Luxury 2+1 Flats with Pool And Terrace,228406579,Engincan,,Sisli,41.11967,29.00958,Entire home/apt,1570,1,0,,,1,91
45184771,MY HOME SUITE 2,363677638,Mervan,,Beyoglu,41.02956,28.9754,Private room,179,1,0,,,2,90
45184926,Galata Tower Area Lovely Stay at Heart Of Istanbul,225719048,Vedat,,Beyoglu,41.02767,28.96943,Private room,191,1,1,2020-09-21,0.81,22,339
45184951,Entire apartment just behind the Tesvikiye Mosque,364815713,Emir,,Sisli,41.0489,28.99523,Private room,233,1,0,,,1,365
45184965,Kendi evinizmiş gibi hissedin :),363948447,Zeynep,,Kadikoy,40.99554,29.02472,Entire home/apt,200,1,4,2020-10-27,2.50,1,86
45185084,Galata Tower Area Lovely Stay at Heart Of Istanbul,225719048,Vedat,,Beyoglu,41.02725,28.96927,Private room,191,1,1,2020-09-08,0.60,22,339
45185106,Mostar Apartments 2+1 Beyoglu,364921493,UmutCan,,Beyoglu,41.03498,28.97716,Entire home/apt,200,1,2,2020-09-12,1.15,3,360
45185143,Bugdet Single-Double Room Near To Galata Tower,225719048,Vedat,,Beyoglu,41.02579,28.97051,Private room,166,1,5,2020-10-08,2.59,22,337
45185310,Private Room in Atasehir,268945397,Halil Murat,,Atasehir,40.99848,29.08475,Private room,85,2,0,,,1,177
45185319,Mostar Apartments 1+1,364921493,UmutCan,,Beyoglu,41.0347,28.97693,Entire home/apt,130,1,1,2020-10-01,1,3,360
45185326,Bugdet Single-Double Room Near To Galata Tower,225719048,Vedat,,Beyoglu,41.0265,28.96963,Private room,166,1,6,2020-10-12,3.16,22,360
45185745,Büyükada kiralık oda,364676980,Emin,,Adalar,40.87139,29.12624,Entire home/apt,115,1,2,2020-10-04,1.25,1,337
45187013,1  bedroom 1 livingroom apartment at taksim square,344080449,Rose,,Beyoglu,41.03413,28.98421,Entire home/apt,192,1,2,2020-09-22,1.43,14,360
45187065,Rayn mini house,353712589,Emagine,,Fatih,41.01055,28.93559,Entire home/apt,476,7,0,,,8,365
45187285,"It is spacious, beautiful and large place.",215955826,Sinan,,Tuzla,40.85016,29.30741,Private room,122,1,0,,,1,180
45187289,MYA work&chill house @ kadıkoy center,108876856,Leo,,Kadikoy,40.98399,29.02595,Entire home/apt,271,1,1,2020-09-29,1,4,327
45187442,Ladies Only AC Room in Old City - 2nd Floor N1,103481072,Mustafa Gökhan,,Fatih,41.00703,28.97327,Private room,153,1,3,2020-09-17,1.70,15,113
45188011,Ladies Only_Cosy_Positive Energy_Heart of Beşiktaş,70976541,Emel,,Besiktas,41.04538,29.005,Private room,80,1,2,2020-10-18,1.30,1,89
45188268,çift kişilk studıo oda.,244739538,Sinan,,Fatih,41.00446,28.96912,Private room,180,1,0,,,5,365
45188318,Flat in Beşiktaş (Close to Conrad Hotel) (2),364835479,Yüksel,,Besiktas,41.04707,29.00842,Entire home/apt,225,1,0,,,4,365
45188354,Flat in Beşiktaş (Close to Conrad Hotel) (3),364835479,Yüksel,,Besiktas,41.04733,29.0064,Entire home/apt,209,1,0,,,4,361
45189759,Brand New 2 + 1 Infront of Tuyap and Metrobus,36519451,Omer,,Esenyurt,41.02315,28.63179,Entire home/apt,203,2,2,2020-10-14,1.03,4,335
45190145,Economic Room Next to Galata Tower,69951086,Feyyaz,,Beyoglu,41.02986,28.97417,Private room,149,1,2,2020-09-06,1.13,5,365
45190578,Clean and bright flat with 2 bedroom,145321264,Burcu,,Sisli,41.05638,28.97304,Entire home/apt,199,10,1,2020-10-12,1,6,341
45191062,Sabiha Gökçen Havalimanına yakın ferah temiz,364975946,Adi̇l,,Pendik,40.87217,29.30254,Private room,100,1,0,,,1,365
45191436,"Studio flat  -TomTom Galata 
Near to Galata tower",23468138,Soroush,,Beyoglu,41.02875,28.97923,Entire home/apt,122,1,2,2020-09-29,1.18,9,353
45191514,Moda'da deniz ve doğayla iç içe ferah bir daire.,364964727,Ayşe,,Kadikoy,40.9836,29.03235,Entire home/apt,223,1,7,2020-09-30,3.62,1,348
45196121,EV İÇİNDE ÖZEL ODA VE BORNOZ,365028812,Izzet,,Fatih,41.00571,28.95987,Private room,1076,1,0,,,2,364
45196730,52. Kat METROPOL İSTANBUL AVM GÜNLÜK KİRALIK DAİRE,61682169,Bariş,,Atasehir,40.99243,29.12279,Entire home/apt,586,1,4,2020-10-15,2.73,9,360
45197446,Fully furnished  center&quited luxury apartment,365040059,Canan,,Uskudar,40.9986,29.07317,Entire home/apt,1444,5,0,,,2,363
45197844,Deluxe private room 3,359472238,Navid,,Beyoglu,41.03715,28.98261,Private room,92,1,5,2020-10-16,2.78,5,365
45198105,best point /,348318278,Rosso,,Beyoglu,41.03659,28.98246,Private room,181,1,2,2020-09-21,1.15,8,360
45198106,beyoglunda huzur bulacagınız odamız,365046974,Rıza,,Beyoglu,41.02724,28.97396,Entire home/apt,240,1,0,,,2,365
45198331,best point  ///,348318278,Rosso,,Beyoglu,41.03589,28.98233,Private room,181,1,0,,,8,360
45199209,Stay at My Guest Room,33849256,Aydın,,Kadikoy,40.98123,29.02281,Private room,155,1,0,,,1,90
45199376,Warm Flat with perfect location  (Merter Platform),344425924,Ufuk Birtan,,Gungoren,41.00834,28.89598,Entire home/apt,407,5,0,,,1,88
45199462,New Home,21046397,Burak,,Beyoglu,41.03412,28.9754,Entire home/apt,533,3,0,,,1,341
45200272,Privet tiny room 1,359472238,Navid,,Beyoglu,41.03565,28.98073,Private room,86,1,1,2020-10-23,1,5,365
45200305,Kurtuluş'ta Şık ve Rahat Bir Ev,365068123,Mehmet Salih,,Sisli,41.04638,28.98354,Private room,580,2,0,,,1,365
45200493,A comfy room in a peacefull  house. 110sqm.,349358915,M. Mustafa,,Besiktas,41.0463,29.00393,Private room,238,3,0,,,1,306
45200499,galatada  harıka yer,365046974,Rıza,,Beyoglu,41.02783,28.97382,Private room,250,1,0,,,2,365
45200861,Large Family Room In Historical Town,364486465,Erhan,,Fatih,41.01983,28.96187,Private room,130,1,0,,,7,364
45201065,Muhteşem manzaralı paylaşımlı ferah daire,356815344,Arzu,,Sisli,41.07498,28.99189,Private room,107,1,2,2020-09-30,1.28,3,362
45201292,"An unforgettable sea view &
Roof terrace to relax",79643048,Atheer,,Bakirkoy,40.97608,28.88154,Entire home/apt,1222,2,0,,,1,326
45201850,"Deniz Manzaralı ,bahceli ,sessiz,sakin balkonlu ev",280667000,Gokhan,,Besiktas,41.05737,29.02851,Entire home/apt,277,5,0,,,4,64
45202418,"Full Sea View in Livingroom, Public Transportation",218541613,Oğuzhan,,Fatih,41.00277,28.9373,Private room,162,7,0,,,8,364
45202475,Blue Double Room,328936513,Abı,,Beyoglu,41.0394,28.98009,Entire home/apt,120,1,0,,,9,330
45202647,Kadıköy'de Yeni ve Temiz Eşyalı Odalar,363828257,Kübra Dilara,,Kadikoy,40.99367,29.02815,Private room,170,6,0,,,3,365
45202866,Special Flat in Nişantaşı 5 mn to Metro Station,66045255,Ömer,,Sisli,41.05671,28.99195,Entire home/apt,333,1,0,,,1,364
45202929,The house is 1 minutes walk to the 4.Levent metro.,152848761,Elnur,,Kagithane,41.08566,29.00408,Private room,75,7,0,,,2,268
